i1,i2,f_vector,placeholder1,placeholder2
7078681018,7078682655,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,6948170430,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,6948168731,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,7078042896,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,6948170354,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,6947529089,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,3547808231,"108342.6484375,31777.10546875,3798.903515625",-1,-1
7078681018,6948170364,"108342.6484375,31777.10546875,3798.903515625",-1,-1
6948170354,7078043074,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,6947530592,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078041275,"108377.21875,31800.427734375,3803.5109375",-1,-1
6948170354,7077398601,"108378.8671875,31798.7421875,3804.371484375",-1,-1
6948170354,7078682655,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078043134,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078043133,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078043100,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078682718,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078042969,"108378.8671875,31798.7421875,3804.371484375",-1,-1
6948170354,7078041304,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078043054,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,6948170156,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078682699,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078042985,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078041319,"108377.0859375,31804.501953125,3803.775",-1,-1
6948170354,7078041381,"108377.0859375,31804.501953125,3803.775",-1,-1
7078042935,7078682656,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,7078682658,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,6948170413,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,7078682745,"108412.3828125,31799.404296875,3803.723828125",-1,-1
7078042935,6948170109,"108412.984375,31797.125,3802.453125",-1,-1
7078042935,7078042969,"108402.71875,31793.1171875,3802.81953125",-1,-1
7078042935,6948170354,"108402.71875,31793.1171875,3802.81953125",-1,-1
7078042935,7078682699,"108402.71875,31793.1171875,3802.81953125",-1,-1
7078042935,7078043074,"108402.71875,31793.1171875,3802.81953125",-1,-1
7078042935,6947530592,"108402.71875,31793.1171875,3802.81953125",-1,-1
7078042935,7078043100,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,6948170424,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,7078682708,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078042935,7078682722,"108408.5546875,31794.08203125,3803.189453125",-1,-1
7078041430,7078680982,"108322.2734375,31827.9921875,3808.157421875",-1,-1
7078041430,7078681003,"108322.2734375,31827.9921875,3808.157421875",-1,-1
7078041430,7078681060,"108326.40625,31835.14453125,3809.11640625",-1,-1
7078041430,7078681007,"108326.40625,31835.14453125,3809.11640625",-1,-1
7078041430,6687149395,"108326.40625,31835.14453125,3809.11640625",-1,-1
7078041430,7078682739,"108326.40625,31835.14453125,3809.11640625",-1,-1
7078041430,7078681058,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681090,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681061,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681069,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078680979,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681109,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681081,"108326.40625,31835.14453125,3809.11640625",-1,-1
7078041430,7078681049,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,7078681018,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078041430,6948170430,"108325.1796875,31827.041015625,3808.777734375",-1,-1
7078681049,7078681007,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078681003,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,3547808231,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078681060,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078681058,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078680960,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,6948170416,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078681052,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,7078681053,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681049,6948170430,"108293.7421875,31807.9296875,3803.99921875",-1,-1
7078681058,7078041304,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078681049,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078682718,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078682699,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078042985,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078041319,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,6947530592,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,6947530711,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,6948170354,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078043054,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078681081,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,6948170156,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078682655,"108327.453125,31803.787109375,3804.80078125",-1,-1
7078681058,7078681018,"108326.21875,31804.30078125,3804.651953125",-1,-1
7078681058,7078041275,"108326.21875,31804.30078125,3804.651953125",-1,-1
6948170364,7078042950,"108358.8125,31763.53125,3796.625390625",-1,-1
6948170364,6947530592,"108358.8125,31763.53125,3796.625390625",-1,-1
6948170364,7078682655,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,7078042935,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6947529116,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6943070841,"108359.6015625,31761.572265625,3796.771484375",-1,-1
6948170364,6947530711,"108359.6015625,31761.572265625,3796.771484375",-1,-1
